PLAYER_ID,NAME,TEAM_ID,TEAM,AGE,SEASON,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,LEFT_CORNER_3_PCT,RIGHT_CORNER_3_FGM,RIGHT_CORNER_3_FGA,RIGHT_CORNER_3_PCT,ABOVE_THE_BREAK_3_FGM,ABOVE_THE_BREAK_3_FGA,ABOVE_BREAK_3_PCT,CORNER_3_FGM,CORNER_3_FGA,CORNER_3_PCT
202620,Arinze Onuaku,1610612750,MIN,27.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203382,Aron Baynes,1610612759,SAS,28.0,2014-15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0
201167,Arron Afflalo,1610612757,POR,29.0,2014-15,21.0,71.0,0.296,24.0,59.0,0.407,73.0,203.0,0.36,45.0,130.0,0.346
201948,Austin Daye,1610612737,ATL,27.0,2014-15,3.0,10.0,0.3,8.0,12.0,0.667,13.0,49.0,0.265,11.0,22.0,0.5
203085,Austin Rivers,1610612746,LAC,22.0,2014-15,8.0,18.0,0.444,6.0,19.0,0.316,25.0,93.0,0.269,14.0,37.0,0.378
202340,Avery Bradley,1610612738,BOS,24.0,2014-15,26.0,66.0,0.394,25.0,63.0,0.397,73.0,220.0,0.332,51.0,129.0,0.395
2732,Ben Gordon,1610612753,ORL,32.0,2014-15,6.0,10.0,0.6,5.0,9.0,0.556,24.0,78.0,0.308,11.0,19.0,0.579
203463,Ben McLemore,1610612758,SAC,22.0,2014-15,28.0,63.0,0.444,32.0,82.0,0.39,80.0,241.0,0.332,60.0,145.0,0.414
2757,Beno Udrih,1610612763,MEM,32.0,2014-15,6.0,13.0,0.462,2.0,9.0,0.222,18.0,73.0,0.247,8.0,22.0,0.364
203108,Bernard James,1610612742,DAL,30.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202687,Bismack Biyombo,1610612766,CHA,22.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201933,Blake Griffin,1610612746,LAC,26.0,2014-15,1.0,2.0,0.5,2.0,4.0,0.5,7.0,18.0,0.389,3.0,6.0,0.5
202711,Bojan Bogdanovic,1610612751,BKN,26.0,2014-15,28.0,59.0,0.475,22.0,56.0,0.393,41.0,141.0,0.291,50.0,115.0,0.435
2564,Boris Diaw,1610612759,SAS,33.0,2014-15,2.0,8.0,0.25,1.0,12.0,0.083,51.0,148.0,0.345,3.0,20.0,0.15
203078,Bradley Beal,1610612764,WAS,22.0,2014-15,12.0,39.0,0.308,13.0,30.0,0.433,81.0,190.0,0.426,25.0,69.0,0.362
201148,Brandan Wright,1610612756,PHX,27.0,2014-15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
101138,Brandon Bass,1610612738,BOS,30.0,2014-15,6.0,19.0,0.316,3.0,9.0,0.333,0.0,4.0,0.0,9.0,28.0,0.321
203561,Brandon Davies,1610612755,PHI,23.0,2014-15,0.0,1.0,0.0,0.0,1.0,0.0,8.0,32.0,0.25,0.0,2.0,0.0
201943,Brandon Jennings,1610612765,DET,25.0,2014-15,9.0,18.0,0.5,7.0,14.0,0.5,60.0,178.0,0.337,16.0,32.0,0.5
202688,Brandon Knight,1610612756,PHX,23.0,2014-15,16.0,42.0,0.381,12.0,25.0,0.48,97.0,254.0,0.382,28.0,67.0,0.418
201575,Brandon Rush,1610612744,GSW,29.0,2014-15,1.0,6.0,0.167,0.0,1.0,0.0,2.0,20.0,0.1,1.0,7.0,0.143
2217,Brendan Haywood,1610612739,CLE,35.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203148,Brian Roberts,1610612766,CHA,29.0,2014-15,2.0,5.0,0.4,10.0,23.0,0.435,50.0,163.0,0.307,12.0,28.0,0.429
201572,Brook Lopez,1610612751,BKN,27.0,2014-15,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,0.167,0.0,4.0,0.0
203998,Bruno Caboclo,1610612761,TOR,19.0,2014-15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0
203955,Bryce Cotton,1610612762,UTA,22.0,2014-15,0.0,1.0,0.0,1.0,1.0,1.0,6.0,18.0,0.333,1.0,2.0,0.5
201228,C.J. Watson,1610612754,IND,31.0,2014-15,6.0,23.0,0.261,10.0,24.0,0.417,54.0,126.0,0.429,16.0,47.0,0.34
203912,C.J. Wilcox,1610612746,LAC,24.0,2014-15,2.0,5.0,0.4,0.0,0.0,0.0,5.0,14.0,0.357,2.0,5.0,0.4
203468,CJ McCollum,1610612757,POR,23.0,2014-15,12.0,28.0,0.429,7.0,19.0,0.368,36.0,92.0,0.391,19.0,47.0,0.404
101139,CJ Miles,1610612754,IND,28.0,2014-15,11.0,36.0,0.306,31.0,77.0,0.403,112.0,328.0,0.341,42.0,113.0,0.372
203946,Cameron Bairstow,1610612741,CHI,24.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201171,Carl Landry,1610612758,SAC,31.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2430,Carlos Boozer,1610612747,LAL,33.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2546,Carmelo Anthony,1610612752,NYK,31.0,2014-15,8.0,12.0,0.667,3.0,5.0,0.6,50.0,161.0,0.311,11.0,17.0,0.647
2406,Caron Butler,1610612765,DET,35.0,2014-15,7.0,15.0,0.467,18.0,37.0,0.486,58.0,164.0,0.354,25.0,52.0,0.481
201858,Cartier Martin,1610612765,DET,30.0,2014-15,1.0,4.0,0.25,0.0,6.0,0.0,5.0,22.0,0.227,1.0,10.0,0.1
202718,Chandler Parsons,1610612742,DAL,26.0,2014-15,17.0,50.0,0.34,19.0,49.0,0.388,96.0,248.0,0.387,36.0,99.0,0.364
101112,Channing Frye,1610612753,ORL,32.0,2014-15,6.0,14.0,0.429,5.0,20.0,0.25,125.0,312.0,0.401,11.0,34.0,0.324
101111,Charlie Villanueva,1610612742,DAL,30.0,2014-15,13.0,34.0,0.382,6.0,21.0,0.286,64.0,166.0,0.386,19.0,55.0,0.345
201978,Chase Budinger,1610612750,MIN,27.0,2014-15,9.0,23.0,0.391,7.0,21.0,0.333,36.0,99.0,0.364,16.0,44.0,0.364
2365,Chris Andersen,1610612748,MIA,36.0,2014-15,1.0,2.0,0.5,3.0,5.0,0.6,0.0,3.0,0.0,4.0,7.0,0.571
2547,Chris Bosh,1610612748,MIA,31.0,2014-15,2.0,7.0,0.286,5.0,13.0,0.385,56.0,148.0,0.378,7.0,20.0,0.35
203142,Chris Copeland,1610612754,IND,31.0,2014-15,10.0,31.0,0.323,6.0,16.0,0.375,36.0,120.0,0.3,16.0,47.0,0.34
201604,Chris Douglas-Roberts,1610612746,LAC,28.0,2014-15,1.0,5.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.167
203187,Chris Johnson,1610612762,UTA,25.0,2014-15,8.0,28.0,0.286,5.0,22.0,0.227,15.0,45.0,0.333,13.0,50.0,0.26
2549,Chris Kaman,1610612757,POR,33.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101108,Chris Paul,1610612746,LAC,30.0,2014-15,11.0,35.0,0.314,6.0,13.0,0.462,122.0,301.0,0.405,17.0,48.0,0.354
101236,Chuck Hayes,1610612761,TOR,32.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203921,Cleanthony Early,1610612752,NYK,24.0,2014-15,4.0,13.0,0.308,5.0,13.0,0.385,13.0,58.0,0.224,9.0,26.0,0.346
203991,Clint Capela,1610612745,HOU,21.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203469,Cody Zeller,1610612766,CHA,22.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
202332,Cole Aldrich,1610612752,NYK,26.0,2014-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201147,Corey Brewer,1610612745,HOU,29.0,2014-15,18.0,78.0,0.231,21.0,71.0,0.296,23.0,78.0,0.295,39.0,149.0,0.262
203928,Cory Jefferson,1610612751,BKN,24.0,2014-15,0.0,1.0,0.0,2.0,4.0,0.5,0.0,9.0,0.0,2.0,5.0,0.4
202709,Cory Joseph,1610612759,SAS,23.0,2014-15,6.0,16.0,0.375,3.0,9.0,0.333,7.0,16.0,0.438,9.0,25.0,0.36
201584,Courtney Lee,1610612763,MEM,29.0,2014-15,16.0,42.0,0.381,15.0,37.0,0.405,59.0,144.0,0.41,31.0,79.0,0.392
201571,D.J. Augustin,1610612760,OKC,27.0,2014-15,6.0,22.0,0.273,11.0,24.0,0.458,65.0,192.0,0.339,17.0,46.0,0.37
2563,Dahntay Jones,1610612746,LAC,34.0,2014-15,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
203081,Damian Lillard,1610612757,POR,24.0,2014-15,17.0,40.0,0.425,8.0,32.0,0.25,171.0,498.0,0.343,25.0,72.0,0.347
204014,Damjan Rudez,1610612754,IND,29.0,2014-15,21.0,46.0,0.457,12.0,19.0,0.632,36.0,105.0,0.343,33.0,65.0,0.508
201568,Danilo Gallinari,1610612743,DEN,26.0,2014-15,10.0,32.0,0.313,15.0,37.0,0.405,81.0,228.0,0.355,25.0,69.0,0.362
101122,Danny Granger,1610612756,PHX,32.0,2014-15,7.0,18.0,0.389,3.0,7.0,0.429,20.0,59.0,0.339,10.0,25.0,0.4
201980,Danny Green,1610612759,SAS,28.0,2014-15,31.0,79.0,0.392,41.0,74.0,0.554,119.0,303.0,0.393,72.0,153.0,0.471
201967,Dante Cunningham,1610612740,NOP,28.0,2014-15,1.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,4.0,0.25
203957,Dante Exum,1610612762,UTA,19.0,2014-15,24.0,58.0,0.414,12.0,48.0,0.25,47.0,157.0,0.299,36.0,106.0,0.34
