PLAYER_ID,SEASON,LEFT_WING_3_PCT,RIGHT_WING_3_PCT,CORNER_3_PCT_DETAIL
977,2014-15,0.31746031746031744,0.2727272727272727,0.5
1713,2014-15,0.2830188679245283,0.27722772277227725,0.38235294117647056
1717,2014-15,0.28169014084507044,0.45,0.36363636363636365
1718,2014-15,0.367816091954023,0.3173076923076923,0.423728813559322
1891,2014-15,0.3974358974358974,0.21621621621621623,0.4896551724137931
1938,2014-15,0.34615384615384615,0.3103448275862069,0.45454545454545453
2034,2014-15,0.4838709677419355,0.19230769230769232,0.35294117647058826
2037,2014-15,0.35294117647058826,0.2523364485981308,0.3611111111111111
2045,2014-15,0.46938775510204084,0.3902439024390244,0.5454545454545454
2202,2014-15,0.40625,0.2727272727272727,0.35
2207,2014-15,0.35398230088495575,0.38095238095238093,0.32989690721649484
2210,2014-15,0.37209302325581395,0.4444444444444444,0.4375
2225,2014-15,0.8571428571428571,0.4444444444444444,0.39705882352941174
2399,2014-15,0.44594594594594594,0.37373737373737376,0.4489795918367347
2400,2014-15,0.375,0.3333333333333333,0.5
2406,2014-15,0.42857142857142855,0.34615384615384615,0.4807692307692308
2419,2014-15,0.25,0.4444444444444444,0.5106382978723404
2440,2014-15,0.2826086956521739,0.410958904109589,0.37777777777777777
2446,2014-15,0.34615384615384615,0.3870967741935484,0.41
2544,2014-15,0.375,0.3431372549019608,0.36585365853658536
2546,2014-15,0.37037037037037035,0.3026315789473684,0.6470588235294118
2547,2014-15,0.41509433962264153,0.2857142857142857,0.35
2548,2014-15,0.28846153846153844,0.2857142857142857,0.3333333333333333
2550,2014-15,0.37777777777777777,0.2903225806451613,0.375
2555,2014-15,0.18181818181818182,0.3333333333333333,0.29411764705882354
2557,2014-15,0.1,0.34782608695652173,0.42857142857142855
2564,2014-15,0.38636363636363635,0.296875,0.15
2571,2014-15,0.34375,0.39285714285714285,0.45161290322580644
2581,2014-15,0.35294117647058826,0.3404255319148936,0.453125
2584,2014-15,0.29411764705882354,0.35,0.41304347826086957
2588,2014-15,0.3684210526315789,0.38095238095238093,0.35
2590,2014-15,0.33884297520661155,0.3617021276595745,0.3448275862068966
2592,2014-15,0.3617021276595745,0.43478260869565216,0.3114754098360656
2594,2014-15,0.4,0.5221238938053098,0.5350877192982456
2732,2014-15,0.2962962962962963,0.3870967741935484,0.5789473684210527
2734,2014-15,0.24489795918367346,0.39759036144578314,0.6041666666666666
2736,2014-15,0.24242424242424243,0.3064516129032258,0.43478260869565216
2738,2014-15,0.43478260869565216,0.36538461538461536,0.3170731707317073
2742,2014-15,0.3181818181818182,0.45454545454545453,0.3333333333333333
2746,2014-15,0.42857142857142855,0.19718309859154928,0.4339622641509434
2747,2014-15,0.3424657534246575,0.4108527131782946,0.40476190476190477
2748,2014-15,0.4,0.4666666666666667,0.3783783783783784
2749,2014-15,0.3106796116504854,0.2923076923076923,0.46153846153846156
2755,2014-15,0.32432432432432434,0.3939393939393939,0.5641025641025641
2757,2014-15,0.2962962962962963,0.15,0.36363636363636365
2772,2014-15,0.3177570093457944,0.33152173913043476,0.411214953271028
101107,2014-15,0.375,0.2545454545454545,0.4782608695652174
101108,2014-15,0.4274193548387097,0.37333333333333335,0.3541666666666667
101111,2014-15,0.4358974358974359,0.33962264150943394,0.34545454545454546
101112,2014-15,0.43333333333333335,0.425,0.3235294117647059
101114,2014-15,0.35185185185185186,0.358695652173913,0.4473684210526316
101122,2014-15,0.20833333333333334,0.48148148148148145,0.4
101123,2014-15,0.38461538461538464,0.3333333333333333,0.34545454545454546
101126,2014-15,0.2222222222222222,0.2777777777777778,0.3
101127,2014-15,0.21428571428571427,0.2608695652173913,0.46511627906976744
101139,2014-15,0.2345679012345679,0.3939393939393939,0.37168141592920356
101141,2014-15,0.390625,0.3888888888888889,0.48
101145,2014-15,0.2463768115942029,0.2391304347826087,0.3620689655172414
101150,2014-15,0.30057803468208094,0.26153846153846155,0.4807692307692308
101179,2014-15,0.3055555555555556,0.23333333333333334,0.3684210526315789
101181,2014-15,0.46296296296296297,0.3404255319148936,0.4827586206896552
101187,2014-15,0.2545454545454545,0.41304347826086957,0.4230769230769231
200746,2014-15,0.40540540540540543,0.2857142857142857,0.34375
200751,2014-15,0.38202247191011235,0.3333333333333333,0.3888888888888889
200752,2014-15,0.4,0.4307692307692308,0.34
200755,2014-15,0.41139240506329117,0.4491525423728814,0.44776119402985076
200757,2014-15,0.2727272727272727,0.3333333333333333,0.32558139534883723
200761,2014-15,0.475,0.30952380952380953,0.36363636363636365
200765,2014-15,0.3333333333333333,0.3684210526315789,0.36666666666666664
200768,2014-15,0.2981366459627329,0.3333333333333333,0.3333333333333333
200770,2014-15,0.5,0.27586206896551724,0.3181818181818182
200782,2014-15,0.2,0.40540540540540543,0.3670886075949367
200794,2014-15,0.4318181818181818,0.27692307692307694,0.4423076923076923
200826,2014-15,0.2765957446808511,0.3389830508474576,0.5172413793103449
201142,2014-15,0.37142857142857144,0.44,0.5333333333333333
201144,2014-15,0.35135135135135137,0.40594059405940597,0.4444444444444444
201145,2014-15,0.3372093023255814,0.25675675675675674,0.4146341463414634
201147,2014-15,0.2702702702702703,0.2962962962962963,0.26174496644295303
201150,2014-15,0.39655172413793105,0.3235294117647059,0.3
201152,2014-15,0.3611111111111111,0.20833333333333334,0.2631578947368421
201155,2014-15,0.46875,0.3333333333333333,0.45454545454545453
