PLAYER_ID,NAME,AGE,TEAM,FGA,3PA,3P_PCT,SEASON,SHOT_FREQUENCY_PCT,TEAM_ID,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,LEFT_CORNER_3_PCT,RIGHT_CORNER_3_FGM,RIGHT_CORNER_3_FGA,RIGHT_CORNER_3_PCT,ABOVE_THE_BREAK_3_FGM,ABOVE_THE_BREAK_3_FGA,ABOVE_BREAK_3_PCT,CORNER_3_FGM,CORNER_3_FGA,CORNER_3_PCT,SEASON_START,TARGET_3P_PCT,TARGET_SEASON
1938,Manu Ginobili,39.0,SAS,439,227,0.392,2016-17,0.5170842824601367,1610612759,8.0,24.0,0.333,4.0,15.0,0.267,77.0,184.0,0.418,12.0,39.0,0.308,2016,0.333,2017-18
2034,Mike Miller,35.0,CLE,114,98,0.327,2014-15,0.8596491228070176,1610612739,4.0,10.0,0.4,8.0,24.0,0.333,20.0,64.0,0.313,12.0,34.0,0.353,2014,0.365,2015-16
2034,Mike Miller,36.0,DEN,62,52,0.365,2015-16,0.8387096774193549,1610612743,1.0,4.0,0.25,3.0,6.0,0.5,15.0,42.0,0.357,4.0,10.0,0.4,2015,0.4,2016-17
2037,Jamal Crawford,35.0,LAC,839,364,0.327,2014-15,0.433849821215733,1610612746,14.0,38.0,0.368,12.0,34.0,0.353,93.0,285.0,0.326,26.0,72.0,0.361,2014,0.34,2015-16
2037,Jamal Crawford,36.0,LAC,939,344,0.34,2015-16,0.3663471778487753,1610612746,20.0,48.0,0.417,14.0,33.0,0.424,82.0,253.0,0.324,34.0,81.0,0.42,2015,0.36,2016-17
2037,Jamal Crawford,37.0,LAC,870,322,0.36,2016-17,0.3701149425287356,1610612746,9.0,24.0,0.375,14.0,39.0,0.359,90.0,251.0,0.359,23.0,63.0,0.365,2016,0.331,2017-18
2037,Jamal Crawford,38.0,MIN,742,314,0.331,2017-18,0.4231805929919137,1610612750,15.0,45.0,0.333,14.0,27.0,0.519,75.0,238.0,0.315,29.0,72.0,0.403,2017,0.332,2018-19
2037,Jamal Crawford,39.0,PHX,438,202,0.332,2018-19,0.4611872146118721,1610612756,4.0,22.0,0.182,5.0,15.0,0.333,58.0,163.0,0.356,9.0,37.0,0.243,2018,0.5,2019-20
2199,Tyson Chandler,32.0,DAL,440,0,0.0,2014-15,0.0,1610612742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,0.0,2015-16
2199,Tyson Chandler,33.0,PHX,314,1,0.0,2015-16,0.0031847133757961,1610612756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0.0,2016-17
2199,Tyson Chandler,34.0,PHX,228,0,0.0,2016-17,0.0,1610612756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,2017-18
2199,Tyson Chandler,35.0,PHX,187,0,0.0,2017-18,0.0,1610612756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.0,2018-19
2199,Tyson Chandler,36.0,LAL,99,1,0.0,2018-19,0.0101010101010101,1610612747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,0.0,2019-20
2200,Pau Gasol,34.0,CHI,1153,26,0.462,2014-15,0.0225498699045967,1610612741,5.0,10.0,0.5,6.0,11.0,0.545,1.0,4.0,0.25,11.0,21.0,0.524,2014,0.348,2015-16
2200,Pau Gasol,35.0,CHI,995,69,0.348,2015-16,0.0693467336683417,1610612741,5.0,14.0,0.357,3.0,11.0,0.273,16.0,44.0,0.364,8.0,25.0,0.32,2015,0.538,2016-17
2200,Pau Gasol,36.0,SAS,604,104,0.538,2016-17,0.1721854304635761,1610612759,14.0,17.0,0.824,8.0,15.0,0.533,34.0,72.0,0.472,22.0,32.0,0.688,2016,0.358,2017-18
2200,Pau Gasol,37.0,SAS,627,120,0.358,2017-18,0.1913875598086124,1610612759,6.0,20.0,0.3,7.0,19.0,0.368,30.0,81.0,0.37,13.0,39.0,0.333,2017,0.462,2018-19
2207,Joe Johnson,34.0,BKN,1025,337,0.359,2014-15,0.328780487804878,1610612751,16.0,51.0,0.314,16.0,46.0,0.348,89.0,238.0,0.374,32.0,97.0,0.33,2014,0.383,2015-16
